,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10000,10000,10000,10000,-,9300
1,22/11/2022,10000,10000,10000,10000,-,9300
2,23/11/2022,10000,10000,10000,10000,400,9300
3,24/11/2022,11500,11500,11500,11500,200,10800
4,25/11/2022,11500,11500,11500,11500,-,10800
5,28/11/2022,13200,13200,13200,13200,100,12300
6,29/11/2022,15100,15100,15100,15100,100,14100
7,30/11/2022,15100,15100,15100,15100,-,14100
8,01/12/2022,15100,15100,15100,15100,-,14100
9,02/12/2022,15100,15100,15100,15100,-,14100
10,05/12/2022,15100,15100,15100,15100,-,14100
11,06/12/2022,15100,15100,15100,15100,-,14100
12,07/12/2022,15100,15100,15100,15100,-,14100
13,08/12/2022,15100,15100,15100,15100,-,14100
14,09/12/2022,15100,15100,15100,15100,-,14100
15,12/12/2022,15100,15100,15100,15100,-,14100
16,13/12/2022,15100,15100,15100,15100,-,14100
17,14/12/2022,15100,15100,15100,15100,-,14100
18,15/12/2022,15100,15100,15100,15100,-,14100
19,16/12/2022,15100,15100,15100,15100,-,14100
20,19/12/2022,15100,15100,15100,15100,-,14100
21,20/12/2022,15100,15100,15100,15100,-,14100
22,21/12/2022,15100,15100,15100,15100,-,14100
23,22/12/2022,15100,15100,15100,15100,-,14100
24,23/12/2022,15100,15100,15100,15100,-,14100
25,26/12/2022,15100,15100,15100,15100,-,14100
26,27/12/2022,15100,15100,15100,15100,-,14100
27,28/12/2022,15100,15100,15100,15100,-,14100
28,29/12/2022,15100,15100,15100,15100,-,14100
29,30/12/2022,15100,15100,15100,15100,-,14100
30,03/01/2023,15100,15100,15100,15100,-,14100
31,04/01/2023,15100,15100,15100,15100,-,14100
32,05/01/2023,15100,15100,15100,15100,-,14100
33,06/01/2023,15100,15100,15100,15100,-,14100
34,09/01/2023,15100,15100,15100,15100,-,14100
35,10/01/2023,15100,15100,15100,15100,-,14100
36,11/01/2023,15100,15100,15100,15100,-,14100
37,12/01/2023,15100,15100,15100,15100,-,14100
38,13/01/2023,10000,10000,10000,10000,600,9300
39,16/01/2023,10000,10000,10000,10000,-,9300
40,17/01/2023,10000,10000,10000,10000,-,9300
41,18/01/2023,10000,10000,10000,10000,-,9300
42,19/01/2023,10000,10000,10000,10000,-,9300
43,27/01/2023,10000,10000,10000,10000,-,9300
44,30/01/2023,10000,10000,10000,10000,-,9300
45,31/01/2023,10000,10000,10000,10000,-,9300
46,01/02/2023,10000,10000,10000,10000,-,9300
47,02/02/2023,10000,10000,10000,10000,-,9300
48,03/02/2023,10000,10000,10000,10000,-,9300
49,06/02/2023,10000,10000,10000,10000,-,9300
