,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,196400,196400,196400,196400,-,196400
1,22/11/2022,196400,196400,196400,196400,-,196400
2,23/11/2022,196400,196400,196400,196400,-,196400
3,24/11/2022,196400,196400,196400,196400,-,196400
4,25/11/2022,196400,196400,196400,196400,-,196400
5,28/11/2022,196400,196400,196400,196400,-,196400
6,29/11/2022,196400,196400,196400,196400,-,196400
7,30/11/2022,196400,196400,196400,196400,-,196400
8,01/12/2022,196400,196400,196400,196400,-,196400
9,02/12/2022,196400,196400,196400,196400,-,196400
10,05/12/2022,196400,196400,196400,196400,-,196400
11,06/12/2022,196400,196400,196400,196400,-,196400
12,07/12/2022,196400,196400,196400,196400,-,196400
13,08/12/2022,196400,196400,196400,196400,-,196400
14,09/12/2022,196400,196400,196400,196400,-,196400
15,12/12/2022,196400,196400,196400,196400,-,196400
16,13/12/2022,196400,196400,196400,196400,-,196400
17,14/12/2022,196400,196400,196400,196400,-,196400
18,15/12/2022,196400,196400,196400,196400,-,196400
19,16/12/2022,196400,196400,196400,196400,-,196400
20,19/12/2022,196400,196400,196400,196400,-,196400
21,20/12/2022,196400,196400,196400,196400,-,196400
22,21/12/2022,196400,196400,196400,196400,-,196400
23,22/12/2022,196400,196400,196400,196400,-,196400
24,23/12/2022,196400,196400,196400,196400,-,196400
25,26/12/2022,196400,196400,196400,196400,-,196400
26,27/12/2022,196400,196400,196400,196400,-,196400
27,28/12/2022,196400,196400,196400,196400,-,196400
28,29/12/2022,196400,196400,196400,196400,-,196400
29,30/12/2022,196400,196400,196400,196400,-,196400
30,03/01/2023,196400,196400,196400,196400,-,196400
31,04/01/2023,196400,196400,196400,196400,-,196400
32,05/01/2023,196400,196400,196400,196400,-,196400
33,06/01/2023,196400,196400,196400,196400,-,196400
34,09/01/2023,196400,196400,196400,196400,-,196400
35,10/01/2023,196400,196400,196400,196400,-,196400
36,11/01/2023,196400,196400,196400,196400,-,196400
37,12/01/2023,196400,196400,196400,196400,-,196400
38,13/01/2023,196400,196400,196400,196400,-,196400
39,16/01/2023,196400,196400,196400,196400,-,196400
40,17/01/2023,196400,196400,196400,196400,-,196400
41,18/01/2023,196400,196400,196400,196400,-,196400
42,19/01/2023,196400,196400,196400,196400,-,196400
43,27/01/2023,196400,196400,196400,196400,-,196400
44,30/01/2023,196400,196400,196400,196400,-,196400
45,31/01/2023,196400,196400,196400,196400,-,196400
46,01/02/2023,196400,196400,196400,196400,-,196400
47,02/02/2023,196400,196400,196400,196400,-,196400
48,03/02/2023,196400,196400,196400,196400,-,196400
49,06/02/2023,196400,196400,196400,196400,-,196400
50,07/02/2023,196400,196400,196400,196400,-,196400
51,08/02/2023,196400,196400,196400,196400,-,196400
52,09/02/2023,196400,196400,196400,196400,-,196400
53,10/02/2023,196400,196400,196400,196400,-,196400
54,13/02/2023,196400,196400,196400,196400,-,196400
55,14/02/2023,196400,196400,196400,196400,-,196400
56,15/02/2023,196400,196400,196400,196400,-,196400
57,16/02/2023,196400,196400,196400,196400,-,196400
58,17/02/2023,196400,196400,196400,196400,-,196400
59,20/02/2023,196400,196400,196400,196400,-,196400
60,21/02/2023,196400,196400,196400,196400,-,196400
61,22/02/2023,196400,196400,196400,196400,-,196400
62,23/02/2023,196400,196400,196400,196400,-,196400
63,24/02/2023,196400,196400,196400,196400,-,196400
64,27/02/2023,196400,196400,196400,196400,-,196400
65,28/02/2023,196400,196400,196400,196400,-,196400
66,01/03/2023,196400,196400,196400,196400,-,196400
67,02/03/2023,196400,196400,196400,196400,-,196400
68,03/03/2023,196400,196400,196400,196400,-,196400
69,06/03/2023,196400,196400,196400,196400,-,196400
70,07/03/2023,196400,196400,196400,196400,-,196400
71,08/03/2023,196400,196400,196400,196400,-,196400
72,09/03/2023,196400,196400,196400,196400,-,196400
73,10/03/2023,196400,196400,196400,196400,-,196400
74,13/03/2023,196400,196400,196400,196400,-,196400
75,14/03/2023,196400,196400,196400,196400,-,196400
76,15/03/2023,196400,196400,196400,196400,-,196400
77,16/03/2023,196400,196400,196400,196400,-,196400
78,17/03/2023,196400,196400,196400,196400,-,196400
79,20/03/2023,196400,196400,196400,196400,-,196400
80,21/03/2023,196400,196400,196400,196400,-,196400
81,22/03/2023,196400,196400,196400,196400,-,196400
82,23/03/2023,196400,196400,196400,196400,-,196400
83,24/03/2023,196400,196400,196400,196400,-,196400
