,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1400,1400,1400,1400,-,400
1,22/11/2022,1400,1400,1400,1400,-,400
2,23/11/2022,1400,1400,1400,1400,-,400
3,24/11/2022,1400,1400,1400,1400,-,400
4,25/11/2022,1400,1400,1400,1400,-,400
5,28/11/2022,1400,1400,1400,1400,-,400
6,29/11/2022,1400,1400,1400,1400,-,400
7,30/11/2022,1400,1400,1400,1400,-,400
8,01/12/2022,1400,1400,1400,1400,-,400
9,02/12/2022,1400,1400,1400,1400,-,400
10,05/12/2022,1400,1400,1400,1400,-,400
11,06/12/2022,1400,1400,1400,1400,-,400
12,07/12/2022,1400,1400,1400,1400,-,400
13,08/12/2022,1400,1400,1400,1400,-,400
14,09/12/2022,1400,1400,1400,1400,-,400
15,12/12/2022,1400,1400,1400,1400,-,400
16,13/12/2022,1400,1400,1400,1400,-,400
17,14/12/2022,1400,1400,1400,1400,-,400
18,15/12/2022,1400,1400,1400,1400,-,400
19,16/12/2022,1400,1400,1400,1400,-,400
20,19/12/2022,1400,1400,1400,1400,-,400
21,20/12/2022,1400,1400,1400,1400,-,400
22,21/12/2022,1400,1400,1400,1400,-,400
23,22/12/2022,1400,1400,1400,1400,-,400
24,23/12/2022,1400,1400,1400,1400,-,400
25,26/12/2022,1400,1400,1400,1400,-,400
26,27/12/2022,1400,1400,1400,1400,-,400
27,28/12/2022,1400,1400,1400,1400,-,400
28,29/12/2022,1400,1400,1400,1400,-,400
29,30/12/2022,1400,1400,1400,1400,-,400
30,03/01/2023,1400,1400,1400,1400,-,400
31,04/01/2023,1400,1400,1400,1400,-,400
32,05/01/2023,1400,1400,1400,1400,-,400
33,06/01/2023,1400,1400,1400,1400,-,400
34,09/01/2023,1400,1400,1400,1400,-,400
35,10/01/2023,1400,1400,1400,1400,-,400
36,11/01/2023,1400,1400,1400,1400,-,400
37,12/01/2023,1400,1400,1400,1400,-,400
38,13/01/2023,1400,1400,1400,1400,-,400
39,16/01/2023,1400,1400,1400,1400,-,400
40,17/01/2023,1400,1400,1400,1400,-,400
41,18/01/2023,1400,1400,1400,1400,-,400
42,19/01/2023,1400,1400,1400,1400,-,400
43,27/01/2023,1400,1400,1400,1400,-,400
44,30/01/2023,1400,1400,1400,1400,-,400
45,31/01/2023,1400,1400,1400,1400,-,400
46,01/02/2023,1400,1400,1400,1400,-,400
47,02/02/2023,1400,1400,1400,1400,-,400
48,03/02/2023,1400,1400,1400,1400,-,400
49,06/02/2023,1400,1400,1400,1400,-,400
50,07/02/2023,1400,1400,1400,1400,-,400
51,08/02/2023,1400,1400,1400,1400,-,400
52,09/02/2023,1400,1400,1400,1400,-,400
53,10/02/2023,1400,1400,1400,1400,-,400
54,13/02/2023,1400,1400,1400,1400,-,400
55,14/02/2023,1400,1400,1400,1400,-,400
56,15/02/2023,1400,1400,1400,1400,-,400
57,16/02/2023,1400,1400,1400,1400,-,400
58,17/02/2023,1400,1400,1400,1400,-,400
59,20/02/2023,1400,1400,1400,1400,-,400
60,21/02/2023,1400,1400,1400,1400,-,400
