,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3300,3300,3300,3300,-,2500
1,22/11/2022,3300,3300,3300,3300,-,2500
2,23/11/2022,3300,3300,3300,3300,-,2500
3,24/11/2022,3300,3300,3300,3300,-,2500
4,25/11/2022,3300,3300,3300,3300,-,2500
5,28/11/2022,3300,3300,3300,3300,-,2500
6,29/11/2022,3300,3300,3300,3300,-,2500
7,30/11/2022,3300,3300,3300,3300,-,2500
8,01/12/2022,3300,3300,3300,3300,-,2500
9,02/12/2022,3300,3300,3300,3300,-,2500
10,05/12/2022,3300,3300,3300,3300,-,2500
11,06/12/2022,3300,3300,3300,3300,-,2500
12,07/12/2022,3300,3300,3300,3300,-,2500
13,08/12/2022,3300,3300,3300,3300,-,2500
14,09/12/2022,3300,3300,3300,3300,-,2500
15,12/12/2022,3300,3300,3300,3300,-,2500
16,13/12/2022,3300,3300,3300,3300,-,2500
17,14/12/2022,3300,3300,3300,3300,-,2500
18,15/12/2022,3300,3300,3300,3300,-,2500
19,16/12/2022,3300,3300,3300,3300,-,2500
20,19/12/2022,3300,3300,3300,3300,-,2500
21,20/12/2022,3300,3300,3300,3300,-,2500
22,21/12/2022,3300,3300,3300,3300,-,2500
23,22/12/2022,3300,3300,3300,3300,-,2500
24,23/12/2022,3300,3300,3300,3300,-,2500
25,26/12/2022,3300,3300,3300,3300,-,2500
26,27/12/2022,3300,3300,3300,3300,-,2500
27,28/12/2022,3300,3300,3300,3300,-,2500
28,29/12/2022,3300,3300,3300,3300,-,2500
29,30/12/2022,3300,3300,3300,3300,-,2500
30,03/01/2023,3300,3300,3300,3300,-,2500
31,04/01/2023,3300,3300,3300,3300,-,2500
32,05/01/2023,3300,3300,3300,3300,-,2500
33,06/01/2023,3300,3300,3300,3300,-,2500
34,09/01/2023,3300,3300,3300,3300,-,2500
35,10/01/2023,3300,3300,3300,3300,-,2500
36,11/01/2023,3300,3300,3300,3300,-,2500
37,12/01/2023,3300,3300,3300,3300,-,2500
38,13/01/2023,3300,3300,3300,3300,-,2500
39,16/01/2023,3300,3300,3300,3300,-,2500
40,17/01/2023,3300,3300,3300,3300,-,2500
41,18/01/2023,3300,3300,3300,3300,-,2500
42,19/01/2023,3300,3300,3300,3300,-,2500
43,27/01/2023,3300,3300,3300,3300,-,2500
44,30/01/2023,3300,3300,3300,3300,-,2500
45,31/01/2023,3300,3300,3300,3300,-,2500
46,01/02/2023,3300,3300,3300,3300,-,2500
47,02/02/2023,3300,3300,3300,3300,-,2500
48,03/02/2023,3300,3300,3300,3300,-,2500
49,06/02/2023,3300,3300,3300,3300,-,2500
50,07/02/2023,3300,3300,3300,3300,-,2500
51,08/02/2023,3300,3300,3300,3300,-,2500
52,09/02/2023,3300,3300,3300,3300,-,2500
53,10/02/2023,3300,3300,3300,3300,-,2500
54,13/02/2023,3300,3300,3300,3300,-,2500
55,14/02/2023,3300,3300,3300,3300,-,2500
56,15/02/2023,3300,3300,3300,3300,-,2500
57,16/02/2023,3300,3300,3300,3300,-,2500
58,17/02/2023,3300,3300,3300,3300,-,2500
59,20/02/2023,3300,3300,3300,3300,-,2500
60,21/02/2023,3300,3300,3300,3300,-,2500
61,22/02/2023,3300,3300,3300,3300,-,2500
62,23/02/2023,3300,3300,3300,3300,-,2500
63,24/02/2023,3300,3300,3300,3300,-,2500
64,27/02/2023,3300,3300,3300,3300,-,2500
65,28/02/2023,3300,3300,3300,3300,-,2500
66,01/03/2023,3300,3300,3300,3300,-,2500
67,02/03/2023,3300,3300,3300,3300,-,2500
68,03/03/2023,3300,3300,3300,3300,-,2500
69,06/03/2023,3300,3300,3300,3300,-,2500
70,07/03/2023,3300,3300,3300,3300,-,2500
71,08/03/2023,3300,3300,3300,3300,-,2500
72,09/03/2023,3300,3300,3300,3300,-,2500
73,10/03/2023,3300,3300,3300,3300,-,2500
74,13/03/2023,3300,3300,3300,3300,-,2500
75,14/03/2023,3300,3300,3300,3300,-,2500
76,15/03/2023,3300,3300,3300,3300,-,2500
77,16/03/2023,3300,3300,3300,3300,-,2500
78,17/03/2023,3300,3300,3300,3300,-,2500
79,20/03/2023,3300,3300,3300,3300,-,2500
80,21/03/2023,3300,3300,3300,3300,-,2500
81,22/03/2023,3300,3300,3300,3300,-,2500
82,23/03/2023,3300,3300,3300,3300,-,2500
83,24/03/2023,3300,3300,3300,3300,-,2500
84,27/03/2023,3300,3300,3300,3300,-,2500
85,28/03/2023,3300,3300,3300,3300,-,2500
86,29/03/2023,3300,3300,3300,3300,-,2500
87,30/03/2023,3300,3300,3300,3300,-,2500
88,31/03/2023,3300,3300,3300,3300,-,2500
89,03/04/2023,3300,3300,3300,3300,-,2500
90,04/04/2023,3300,3300,3300,3300,-,2500
91,05/04/2023,3300,3300,3300,3300,-,2500
92,06/04/2023,3300,3300,3300,3300,-,2500
93,07/04/2023,3300,3300,3300,3300,-,2500
94,10/04/2023,3300,3300,3300,3300,-,2500
95,11/04/2023,3300,3300,3300,3300,-,2500
96,12/04/2023,3300,3300,3300,3300,-,2500
